,販売実績額
1,1183183200
2,1218391000
3,1627702400
4,1483327400
5,1714530600
6,3417602400
7,2745819600
8,2289082400
9,3045710000
10,2790419400
11,3327685200
12,3075320600
13,2977049400
14,1687465400
15,2451644200
16,3136159400
17,2765973600
18,3393265400
19,2934276600
20,2862994000
21,2827858400
22,3441210000
23,2839198800
24,2744540200
25,2893804800
26,2755291600
27,2980186800
28,2859448200
29,3779087800
30,3110665000
31,3305051200
32,2981692600
33,2868043000
34,2771537400
35,2897713400
36,2728498000
37,2916952000
38,2854688800
39,3658277000
40,2962977600
41,2907344000
42,2873888400
43,2704559400
44,2639510800
45,2527751200
46,2440967200
47,2572395600
48,2739233600
49,2742237600
50,2639831200
51,2696810200
52,2709262600
53,2741783000
54,2679845600
55,2836528200
56,4151720800
57,3101727600
58,3075474200
59,3090457000
60,3108992400
61,3254756400
62,3108366000
63,3065196000
64,3098176800
65,3234066200
66,3335929200
67,3068113400
68,3074734400
69,3121478400
70,3660308600
71,3281327600
72,3213536600
73,3204636600
74,4716924000
75,3330492400
76,3034140600
77,3187966600
78,3170104000
79,3132197000
80,3468422000
81,3254483400
82,3200305200
83,3459265600
84,3217009200
85,3155236600
86,4481156000
87,3225156400
88,3069065600
89,3092331200
90,3148100000
91,3165274600
92,4580091400
93,3394399600
94,3479541600
95,3155373400
96,3082811200
97,2787186800
98,4147359200
99,3984816000
100,4112188800
101,3458643600
102,3708008400
103,3360444200
104,3282241000
105,3279955000
106,3259761400
107,3255928200
108,3555941600
109,3296809400
110,3644351600
111,5050018200
112,3508041400
113,3734089800
114,3541092200
115,3528226400
116,3595725400
117,4175031600
118,3576529000
119,3469098600
120,3496624400
121,3517285800
122,4916079000
123,4949761200
124,3796550200
125,4990610200
126,3808992800
127,4196472800
128,4050964200
129,3673647600
130,4240058400
131,4160779400
132,5618353600
133,3928224600
134,4230936400
135,3841067000
136,3773358600
137,3747170600
138,3644006400
139,3510556200
140,3438635200
141,3580173800
142,3668297400
143,3681431800
144,3630739200
145,4832753000
146,3659103200
147,3409814400
148,3383879400
149,3506571400
150,3533833400
151,3525926400
152,3479253800
153,3435899600
154,3383357800
155,3442519600
156,3429712600
157,4849782000
158,4707057400
159,3780248400
160,5070190400
161,3945626200
162,3847156000
163,5172220200
164,3910584600
165,3825402200
166,3917704400
167,4554954600
168,4167457200
169,4447994800
170,3834667400
171,3916785200
172,3863871400
173,3763889600
174,3797974000
175,4403540400
176,3759737800
177,3687230200
178,3693065400
179,3638856000
180,3640846000
181,3756416800
182,3762757600
183,3693386200
184,5071424800
185,3623175800
186,3680739400
187,4182748000
188,3669796600
189,3565657000
190,4096280800
191,3979024600
192,5607018400
193,3860973000
194,5083710800
195,3766456000
196,3612425600
197,3547430200
198,3452518400
199,3759549800
200,3515847600
201,3627679600
202,4014091400
203,3586529000
204,3593790000
205,3325331200
206,3463177000
207,3460485600
208,4676827200
209,3646412200
210,5307598000
211,3796699800
212,4583653400
213,3857658800
214,4432517400
215,3891530800
216,3817536400
217,3871748600
218,3634872400
219,3680288200
220,3741555800
221,6448288400
222,4148832000
223,4149292000
224,3964900200
225,4654564400
226,3918720000
227,4557430200
228,3893134000
229,3891858000
230,3806368600
231,3688321200
232,3757736200
233,5194956400
234,4253032800
235,3923811800
236,3914428800
237,3503047000
238,3961577200
239,3843402200
240,3816861400
241,3742481000
242,3694541000
243,5364257800
244,4227672200
245,3958868800
246,3945536800
247,3920081000
248,3811081000
249,3808586600
250,3716094200
251,3613580000
252,3645046600
253,3733213000
254,4613830000
255,3827537200
256,3817241200
257,3805175400
258,3809685000
259,4450853600
260,3833610400
261,4005131200
262,4120355000
263,3828347800
264,4808583800
265,9003515600
266,4437429600
267,4391039200
268,4255384600
269,4269611400
270,4108107600
271,4219716400
272,3325566000
273,6002641200
274,4409650400
275,4399933800
276,4332877200
277,4307890200
278,5297238200
279,4292811200
280,4200614400
281,5308511800
282,4215800600
283,4960559400
284,8322324000
285,4552975200
286,4563778000
287,4598581800
288,6730987200
289,4105921800
290,4493152600
291,5333953000
292,4392635400
293,4303571600
294,5124811000
295,4194098000
296,4212447600
297,4206987000
298,6028916800
299,4212082800
300,4903292400
301,5072901400
302,4153218400
303,4026682800
304,5592138400
305,4265137400
306,5176067600
307,10470801400
308,4800561000
309,6561049400
310,5929097000
311,6122103600
312,6269401200
313,4944176800
314,4948468400
315,4830547400
316,4715177800
317,4640396600
318,4283957200
319,6028047200
320,4572027200
321,4552467800
322,4982236200
323,4776056600
324,3220563000
325,4538382800
326,4546499800
327,4533158600
328,4533502800
329,4514487400
330,4454798200
331,4456860600
332,4438548800
333,5271640400
334,5377225600
